
# OSU MPI Allreduce Latency Test v5.8
# Size       Avg Latency(us)
4                      33.10
8                      33.49
16                     33.13
32                     33.65
64                     34.16
128                    34.03
256                    34.66
512                    34.80
1024                   36.04
2048                   38.65
4096                   67.39
8192                   89.52
16384                 115.07
32768                 152.10
65536                 234.34
131072                458.03
262144                273.36
524288                415.71
1048576               749.28
