
# OSU MPI Allreduce Latency Test v5.8
# Size       Avg Latency(us)
4                     143.93
8                     137.68
16                    150.11
32                    137.46
64                    144.77
128                   119.52
256                   125.37
512                   146.30
1024                  135.30
2048                  147.24
4096                  197.30
8192                  232.93
16384                 237.75
32768                 294.29
65536                 288.40
131072                396.60
262144                546.90
524288                855.34
1048576              1142.01
