
# OSU MPI Allreduce Latency Test v5.8
# Size       Avg Latency(us)
4                     159.18
8                     123.65
16                    128.16
32                    152.36
64                    138.00
128                   124.40
256                   167.09
512                   171.57
1024                  165.70
2048                  177.08
4096                  224.27
8192                  262.25
16384                 300.83
32768                 318.52
65536                 280.66
131072                530.87
262144                503.75
524288                924.78
1048576              1239.70
