
# OSU MPI Allreduce Latency Test v5.8
# Size       Avg Latency(us)
4                     141.68
8                     149.39
16                    132.92
32                    140.92
64                    129.90
128                   130.49
256                   126.45
512                   134.16
1024                  143.70
2048                  128.83
4096                  188.65
8192                  270.21
16384                 265.24
32768                 347.50
65536                 245.92
131072                335.05
262144                656.62
524288                734.69
1048576              1016.03
