# OSU MPI Latency Test v5.8
# Size          Latency (us)
0                       7.47
1                       7.50
2                       7.49
4                       7.48
8                       7.80
16                      7.79
32                      7.79
64                      7.91
128                     7.93
256                     7.95
512                     7.97
1024                    8.06
2048                    8.34
4096                    8.75
8192                    9.58
16384                  10.21
32768                  11.37
65536                  14.06
131072                 34.02
262144                 44.33
524288                 81.05
1048576                77.69
2097152               156.22
4194304               239.90
