
# OSU MPI Allreduce Latency Test v5.8
# Size       Avg Latency(us)
4                      88.30
8                      85.93
16                     91.17
32                     87.48
64                     89.48
128                    95.56
256                    88.44
512                    96.27
1024                  108.03
2048                  104.88
4096                  107.30
8192                  145.25
16384                 180.69
32768                 223.58
65536                 323.20
131072                616.50
262144                315.89
524288                478.19
1048576               821.51
