# OSU MPI Bandwidth Test v5.8
# Size      Bandwidth (MB/s)
1                       1.74
2                       3.62
4                       7.38
8                      14.82
16                     29.57
32                     59.23
64                    109.00
128                   216.81
256                   430.77
512                   836.91
1024                 1549.45
2048                 2612.58
4096                 4399.84
8192                 7226.01
16384                8463.77
32768               10096.91
65536               11761.03
131072              13689.32
262144              13835.04
524288              13932.28
1048576             23688.74
2097152             23992.68
4194304             24213.86
