
# OSU MPI Allreduce Latency Test v5.8
# Size       Avg Latency(us)
4                     144.88
8                     151.31
16                    146.06
32                    139.99
64                    131.22
128                   159.86
256                   153.67
512                   141.16
1024                  147.44
2048                  169.14
4096                  226.70
8192                  293.01
16384                 294.90
32768                 311.85
65536                 379.27
131072                552.61
262144                489.43
524288                805.35
1048576              1311.78
