# OSU MPI Bandwidth Test v5.8
# Size      Bandwidth (MB/s)
1                       1.70
2                       3.58
4                       7.11
8                      14.69
16                     29.62
32                     59.14
64                    108.01
128                   215.19
256                   426.96
512                   834.92
1024                 1549.19
2048                 2601.13
4096                 4328.81
8192                 7178.46
16384                8428.30
32768                9981.85
65536               11370.19
131072              13571.56
262144              13833.54
524288              13949.86
1048576             23650.75
2097152             23985.41
4194304             24180.32
