# OSU MPI Latency Test v5.8
# Size          Latency (us)
0                       7.46
1                       7.50
2                       7.48
4                       7.48
8                       7.79
16                      7.79
32                      7.78
64                      7.91
128                     7.92
256                     7.93
512                     7.97
1024                    8.06
2048                    8.33
4096                    8.76
8192                    9.56
16384                  10.23
32768                  11.48
65536                  14.05
131072                 33.92
262144                 44.08
524288                 80.79
1048576                77.87
2097152               156.21
4194304               239.03
