
# OSU MPI Allreduce Latency Test v5.8
# Size       Avg Latency(us)
4                      38.53
8                      35.74
16                     33.11
32                     33.20
64                     33.36
128                    34.48
256                    41.84
512                    35.14
1024                   35.54
2048                   37.57
4096                   63.18
8192                   89.94
16384                 115.62
32768                 153.02
65536                 234.42
131072                453.55
262144                255.69
524288                410.90
1048576               733.21
