# OSU MPI Bandwidth Test v5.8
# Size      Bandwidth (MB/s)
1                       1.73
2                       3.61
4                       7.36
8                      14.81
16                     29.41
32                     59.09
64                    108.44
128                   215.91
256                   428.96
512                   835.93
1024                 1544.78
2048                 2602.89
4096                 4341.08
8192                 7236.32
16384                8492.28
32768               10012.16
65536               11332.35
131072              13670.07
262144              13800.78
524288              13930.31
1048576             23696.81
2097152             23981.13
4194304             24193.33
