
# OSU MPI Allreduce Latency Test v5.8
# Size       Avg Latency(us)
4                     109.02
8                     103.67
16                    106.35
32                     98.00
64                    118.44
128                   102.28
256                    98.21
512                   114.90
1024                  111.49
2048                  105.93
4096                  155.27
8192                  151.01
16384                 156.22
32768                 179.70
65536                 193.40
131072                266.03
262144                383.57
524288                617.39
1048576               922.12
