experiment,nodes,size,ranks,iteration,average_latency_us
usernetes,2,8.0,2.0,10.5,11.367500000000001
usernetes,2,16.0,2.0,10.5,22.827499999999997
usernetes,2,32.0,2.0,10.5,45.62950000000001
usernetes,2,64.0,2.0,10.5,85.10650000000001
usernetes,2,128.0,2.0,10.5,169.68699999999995
usernetes,2,256.0,2.0,10.5,336.58599999999996
usernetes,2,512.0,2.0,10.5,661.1315
usernetes,2,1024.0,2.0,10.5,1244.5785
usernetes,2,2048.0,2.0,10.5,2154.7335000000003
usernetes,2,4096.0,2.0,10.5,3707.2665000000006
usernetes,2,8192.0,2.0,10.5,6185.826499999999
usernetes,2,16384.0,2.0,10.5,7842.553999999998
usernetes,2,32768.0,2.0,10.5,9663.842499999999
usernetes,2,65536.0,2.0,10.5,11071.960500000001
usernetes,2,131072.0,2.0,10.5,13385.84
usernetes,2,262144.0,2.0,10.5,13743.7075
usernetes,2,524288.0,2.0,10.5,13944.863000000001
usernetes,2,1048576.0,2.0,10.5,23388.464
usernetes,2,2097152.0,2.0,10.5,23812.810999999994
usernetes,2,4194304.0,2.0,10.5,24125.458
