,ranks,experiment,iteration,average_latency_us,nodes
143,512,container-with-usernetes,6,118.34,32
144,64,container-with-usernetes,20,72.17,4
145,128,container-with-usernetes,5,67.6,8
146,256,container-with-usernetes,17,134.33,16
147,128,container-with-usernetes,11,70.16,8
148,64,container-with-usernetes,9,49.0,4
149,512,container-with-usernetes,5,146.78,32
150,128,container-with-usernetes,13,82.76,8
151,64,container-with-usernetes,4,50.5,4
152,256,container-with-usernetes,10,121.04,16
153,512,container-with-usernetes,19,116.11,32
154,64,container-with-usernetes,3,49.06,4
155,512,container-with-usernetes,14,114.46,32
156,512,container-with-usernetes,13,117.03,32
157,256,container-with-usernetes,16,111.73,16
158,512,container-with-usernetes,7,153.1,32
159,64,container-with-usernetes,2,48.24,4
160,64,bare-metal-with-usernetes,18,48.88,4
161,256,bare-metal-with-usernetes,7,117.83,16
162,512,bare-metal-with-usernetes,12,120.78,32
163,128,bare-metal-with-usernetes,19,65.7,8
164,256,bare-metal-with-usernetes,4,139.09,16
165,128,bare-metal-with-usernetes,14,65.79,8
166,256,bare-metal-with-usernetes,6,119.16,16
167,64,bare-metal-with-usernetes,13,48.36,4
168,64,bare-metal-with-usernetes,6,48.52,4
169,64,bare-metal-with-usernetes,19,47.98,4
170,128,bare-metal-with-usernetes,12,71.85,8
171,128,bare-metal-with-usernetes,17,65.74,8
172,64,bare-metal-with-usernetes,14,47.97,4
173,256,bare-metal-with-usernetes,12,113.88,16
174,256,bare-metal-with-usernetes,1,124.59,16
175,64,bare-metal-with-usernetes,16,47.77,4
176,512,bare-metal-with-usernetes,11,115.86,32
177,256,bare-metal-with-usernetes,14,122.51,16
178,128,bare-metal-with-usernetes,18,64.89,8
179,256,bare-metal-with-usernetes,13,135.31,16
180,128,bare-metal-with-usernetes,6,68.99,8
181,128,bare-metal-with-usernetes,15,63.95,8
182,64,bare-metal-with-usernetes,12,48.61,4
183,256,bare-metal-with-usernetes,20,115.39,16
184,512,bare-metal-with-usernetes,16,123.23,32
185,256,bare-metal-with-usernetes,18,129.08,16
186,64,bare-metal-with-usernetes,10,47.96,4
187,64,bare-metal-with-usernetes,17,48.39,4
188,512,bare-metal-with-usernetes,3,142.35,32
189,64,bare-metal-with-usernetes,8,47.58,4
190,128,bare-metal-with-usernetes,16,63.76,8
191,512,bare-metal-with-usernetes,2,117.85,32
192,256,bare-metal-with-usernetes,9,125.34,16
193,128,bare-metal-with-usernetes,4,65.12,8
194,512,bare-metal-with-usernetes,8,111.61,32
195,256,bare-metal-with-usernetes,5,117.86,16
196,256,bare-metal-with-usernetes,3,118.45,16
197,128,bare-metal-with-usernetes,20,65.73,8
198,64,bare-metal-with-usernetes,1,55.73,4
199,64,bare-metal-with-usernetes,11,47.6,4
200,512,bare-metal-with-usernetes,4,172.44,32
201,256,bare-metal-with-usernetes,11,148.26,16
202,128,bare-metal-with-usernetes,8,66.55,8
203,128,bare-metal-with-usernetes,9,65.46,8
204,128,bare-metal-with-usernetes,10,65.35,8
205,512,bare-metal-with-usernetes,17,140.47,32
206,256,bare-metal-with-usernetes,15,128.39,16
207,128,bare-metal-with-usernetes,2,64.11,8
208,64,bare-metal-with-usernetes,15,47.85,4
209,256,bare-metal-with-usernetes,2,189.48,16
210,64,bare-metal-with-usernetes,7,54.9,4
211,512,bare-metal-with-usernetes,9,122.37,32
212,128,bare-metal-with-usernetes,7,71.76,8
213,256,bare-metal-with-usernetes,8,122.03,16
214,512,bare-metal-with-usernetes,15,129.7,32
215,512,bare-metal-with-usernetes,10,106.05,32
216,512,bare-metal-with-usernetes,20,163.93,32
217,256,bare-metal-with-usernetes,19,127.71,16
218,64,bare-metal-with-usernetes,5,48.25,4
219,128,bare-metal-with-usernetes,3,63.34,8
220,128,bare-metal-with-usernetes,1,63.07,8
221,512,bare-metal-with-usernetes,1,163.72,32
222,512,bare-metal-with-usernetes,18,142.31,32
223,512,bare-metal-with-usernetes,6,121.73,32
224,64,bare-metal-with-usernetes,20,49.89,4
225,128,bare-metal-with-usernetes,5,67.92,8
226,256,bare-metal-with-usernetes,17,139.97,16
227,128,bare-metal-with-usernetes,11,63.69,8
228,64,bare-metal-with-usernetes,9,50.66,4
229,512,bare-metal-with-usernetes,5,117.37,32
230,128,bare-metal-with-usernetes,13,66.38,8
231,64,bare-metal-with-usernetes,4,49.16,4
232,256,bare-metal-with-usernetes,10,130.22,16
233,512,bare-metal-with-usernetes,19,111.14,32
234,64,bare-metal-with-usernetes,3,49.44,4
235,512,bare-metal-with-usernetes,14,113.51,32
236,512,bare-metal-with-usernetes,13,125.91,32
237,256,bare-metal-with-usernetes,16,116.76,16
238,512,bare-metal-with-usernetes,7,111.36,32
239,64,bare-metal-with-usernetes,2,49.01,4
240,64,container,18,46.69,4
241,256,container,7,109.48,16
242,512,container,12,96.07,32
243,128,container,19,60.96,8
244,256,container,4,109.65,16
245,128,container,14,60.89,8
246,256,container,6,109.38,16
247,64,container,13,47.48,4
248,64,container,6,46.93,4
249,64,container,19,46.46,4
250,128,container,12,61.49,8
251,128,container,17,61.03,8
252,64,container,14,46.86,4
253,256,container,12,109.02,16
254,256,container,1,144.85,16
255,64,container,16,47.15,4
256,512,container,11,91.61,32
257,256,container,14,108.98,16
258,128,container,18,60.84,8
259,256,container,13,112.27,16
260,128,container,6,61.11,8
261,128,container,15,61.19,8
262,64,container,12,47.14,4
263,256,container,20,110.15,16
264,512,container,16,93.94,32
265,256,container,18,109.41,16
266,64,container,10,47.02,4
