experiment,nodes,size,ranks,iteration,average_latency_us
usernetes,2,4096.0,2.0,10.5,14.2215
usernetes,2,8192.0,2.0,10.5,15.995500000000002
usernetes,2,16384.0,2.0,10.5,16.644
usernetes,2,32768.0,2.0,10.5,17.901500000000006
usernetes,2,65536.0,2.0,10.5,20.445999999999998
usernetes,2,131072.0,2.0,10.5,52.0735
usernetes,2,262144.0,2.0,10.5,62.117
usernetes,2,524288.0,2.0,10.5,110.22749999999999
usernetes,2,1048576.0,2.0,10.5,94.0575
usernetes,2,2097152.0,2.0,10.5,167.1805
usernetes,2,4194304.0,2.0,10.5,263.6845
