experiment,nodes,size,ranks,iteration,average_latency_us
container-with-usernetes,16,16.0,256.0,10.5,104.17099999999998
container-with-usernetes,16,32.0,256.0,10.5,102.17999999999999
container-with-usernetes,16,64.0,256.0,10.5,103.78300000000002
container-with-usernetes,16,128.0,256.0,10.5,106.50750000000001
container-with-usernetes,16,256.0,256.0,10.5,109.57299999999998
container-with-usernetes,16,512.0,256.0,10.5,108.3255
container-with-usernetes,16,1024.0,256.0,10.5,114.04400000000001
container-with-usernetes,16,2048.0,256.0,10.5,112.25999999999999
container-with-usernetes,16,4096.0,256.0,10.5,177.36199999999994
container-with-usernetes,16,8192.0,256.0,10.5,175.3845
container-with-usernetes,16,16384.0,256.0,10.5,189.2395
container-with-usernetes,16,32768.0,256.0,10.5,195.627
container-with-usernetes,16,65536.0,256.0,10.5,211.38550000000004
container-with-usernetes,16,131072.0,256.0,10.5,288.5915
container-with-usernetes,16,262144.0,256.0,10.5,395.10900000000004
container-with-usernetes,16,524288.0,256.0,10.5,616.26
container-with-usernetes,16,1048576.0,256.0,10.5,989.0530000000001
container-with-usernetes,32,4.0,512.0,10.5,142.916
container-with-usernetes,32,8.0,512.0,10.5,144.176
container-with-usernetes,32,16.0,512.0,10.5,142.055
container-with-usernetes,32,32.0,512.0,10.5,142.789
container-with-usernetes,32,64.0,512.0,10.5,138.7685
container-with-usernetes,32,128.0,512.0,10.5,139.01300000000003
container-with-usernetes,32,256.0,512.0,10.5,147.2175
container-with-usernetes,32,512.0,512.0,10.5,152.06449999999998
container-with-usernetes,32,1024.0,512.0,10.5,152.9305
container-with-usernetes,32,2048.0,512.0,10.5,145.413
container-with-usernetes,32,4096.0,512.0,10.5,201.0365
container-with-usernetes,32,8192.0,512.0,10.5,249.02100000000002
container-with-usernetes,32,16384.0,512.0,10.5,278.23999999999995
container-with-usernetes,32,32768.0,512.0,10.5,295.20599999999996
container-with-usernetes,32,65536.0,512.0,10.5,294.57900000000006
container-with-usernetes,32,131072.0,512.0,10.5,399.432
container-with-usernetes,32,262144.0,512.0,10.5,507.8050000000001
container-with-usernetes,32,524288.0,512.0,10.5,749.2085
container-with-usernetes,32,1048576.0,512.0,10.5,1177.7455
usernetes,4,4.0,64.0,10.5,67.191
usernetes,4,8.0,64.0,10.5,69.143
usernetes,4,16.0,64.0,10.5,70.143
usernetes,4,32.0,64.0,10.5,70.39849999999998
usernetes,4,64.0,64.0,10.5,70.76099999999998
usernetes,4,128.0,64.0,10.5,69.61900000000001
usernetes,4,256.0,64.0,10.5,69.9365
usernetes,4,512.0,64.0,10.5,69.85500000000002
usernetes,4,1024.0,64.0,10.5,72.2945
usernetes,4,2048.0,64.0,10.5,73.934
usernetes,4,4096.0,64.0,10.5,119.63600000000001
usernetes,4,8192.0,64.0,10.5,133.31900000000002
usernetes,4,16384.0,64.0,10.5,165.4115
usernetes,4,32768.0,64.0,10.5,236.32749999999996
usernetes,4,65536.0,64.0,10.5,387.64649999999995
usernetes,4,131072.0,64.0,10.5,857.0649999999998
usernetes,4,262144.0,64.0,10.5,625.655
usernetes,4,524288.0,64.0,10.5,1162.4705
usernetes,4,1048576.0,64.0,10.5,2092.578
usernetes,8,4.0,128.0,10.5,136.555
usernetes,8,8.0,128.0,10.5,142.841
usernetes,8,16.0,128.0,10.5,137.1915
usernetes,8,32.0,128.0,10.5,141.679
usernetes,8,64.0,128.0,10.5,141.888
usernetes,8,128.0,128.0,10.5,145.1305
usernetes,8,256.0,128.0,10.5,143.41350000000003
usernetes,8,512.0,128.0,10.5,147.12500000000003
usernetes,8,1024.0,128.0,10.5,147.10899999999998
usernetes,8,2048.0,128.0,10.5,152.33149999999995
usernetes,8,4096.0,128.0,10.5,165.3435
usernetes,8,8192.0,128.0,10.5,190.34199999999996
usernetes,8,16384.0,128.0,10.5,209.26399999999998
usernetes,8,32768.0,128.0,10.5,275.8375
usernetes,8,65536.0,128.0,10.5,329.408
usernetes,8,131072.0,128.0,10.5,1000.6550000000003
usernetes,8,262144.0,128.0,10.5,685.2915
usernetes,8,524288.0,128.0,10.5,1337.263
usernetes,8,1048576.0,128.0,10.5,2198.062999999999
usernetes,16,4.0,256.0,10.5,170.13150000000002
usernetes,16,8.0,256.0,10.5,181.68649999999997
usernetes,16,16.0,256.0,10.5,175.0065
usernetes,16,32.0,256.0,10.5,177.999
usernetes,16,64.0,256.0,10.5,180.16050000000004
usernetes,16,128.0,256.0,10.5,187.30450000000002
usernetes,16,256.0,256.0,10.5,178.45450000000002
usernetes,16,512.0,256.0,10.5,178.567
usernetes,16,1024.0,256.0,10.5,179.6385
usernetes,16,2048.0,256.0,10.5,188.76950000000002
usernetes,16,4096.0,256.0,10.5,263.255
usernetes,16,8192.0,256.0,10.5,277.5965
usernetes,16,16384.0,256.0,10.5,278.28549999999996
usernetes,16,32768.0,256.0,10.5,300.73300000000006
usernetes,16,65536.0,256.0,10.5,345.19849999999997
usernetes,16,131072.0,256.0,10.5,447.4465
usernetes,16,262144.0,256.0,10.5,740.4175
usernetes,16,524288.0,256.0,10.5,1356.6615000000006
usernetes,16,1048576.0,256.0,10.5,2318.2529999999997
usernetes,32,4.0,512.0,10.5,439.6405
usernetes,32,8.0,512.0,10.5,370.555
usernetes,32,16.0,512.0,10.5,194.91749999999996
usernetes,32,32.0,512.0,10.5,200.46
usernetes,32,64.0,512.0,10.5,202.634
usernetes,32,128.0,512.0,10.5,204.12949999999995
usernetes,32,256.0,512.0,10.5,203.899
usernetes,32,512.0,512.0,10.5,196.404
usernetes,32,1024.0,512.0,10.5,197.487
usernetes,32,2048.0,512.0,10.5,181.99550000000005
usernetes,32,4096.0,512.0,10.5,265.7785
usernetes,32,8192.0,512.0,10.5,298.121
usernetes,32,16384.0,512.0,10.5,361.902
usernetes,32,32768.0,512.0,10.5,403.4825
usernetes,32,65536.0,512.0,10.5,436.59100000000007
usernetes,32,131072.0,512.0,10.5,598.4675
usernetes,32,262144.0,512.0,10.5,837.269
usernetes,32,524288.0,512.0,10.5,1620.1644999999994
usernetes,32,1048576.0,512.0,10.5,2541.2235
