,ranks,experiment,iteration,size,average_latency_us,nodes
142,2,usernetes,14,16.0,25.32,2
143,2,usernetes,14,32.0,50.35,2
144,2,usernetes,14,64.0,93.41,2
145,2,usernetes,14,128.0,186.19,2
146,2,usernetes,14,256.0,368.35,2
147,2,usernetes,14,512.0,726.75,2
148,2,usernetes,14,1024.0,1355.92,2
149,2,usernetes,14,2048.0,2328.77,2
150,2,usernetes,14,4096.0,3992.26,2
151,2,usernetes,14,8192.0,6575.38,2
152,2,usernetes,14,16384.0,8094.87,2
153,2,usernetes,14,32768.0,9935.47,2
154,2,usernetes,14,65536.0,11767.94,2
155,2,usernetes,14,131072.0,13480.37,2
156,2,usernetes,14,262144.0,13833.2,2
157,2,usernetes,14,524288.0,13967.11,2
158,2,usernetes,14,1048576.0,23533.56,2
159,2,usernetes,14,2097152.0,23918.46,2
160,2,usernetes,14,4194304.0,24164.86,2
161,2,usernetes,19,1.0,1.29,2
162,2,usernetes,19,2.0,2.74,2
163,2,usernetes,19,4.0,5.54,2
164,2,usernetes,19,8.0,11.09,2
165,2,usernetes,19,16.0,22.19,2
166,2,usernetes,19,32.0,44.47,2
167,2,usernetes,19,64.0,82.97,2
168,2,usernetes,19,128.0,166.07,2
169,2,usernetes,19,256.0,328.12,2
170,2,usernetes,19,512.0,647.06,2
171,2,usernetes,19,1024.0,1212.66,2
172,2,usernetes,19,2048.0,2108.6,2
173,2,usernetes,19,4096.0,3643.52,2
174,2,usernetes,19,8192.0,6089.58,2
175,2,usernetes,19,16384.0,7893.13,2
176,2,usernetes,19,32768.0,9577.8,2
177,2,usernetes,19,65536.0,10964.88,2
178,2,usernetes,19,131072.0,13314.83,2
179,2,usernetes,19,262144.0,13750.33,2
180,2,usernetes,19,524288.0,13920.07,2
181,2,usernetes,19,1048576.0,23323.92,2
182,2,usernetes,19,2097152.0,23781.87,2
183,2,usernetes,19,4194304.0,24104.55,2
184,2,usernetes,20,1.0,1.34,2
185,2,usernetes,20,2.0,2.79,2
186,2,usernetes,20,4.0,5.69,2
187,2,usernetes,20,8.0,11.39,2
188,2,usernetes,20,16.0,22.73,2
189,2,usernetes,20,32.0,45.44,2
190,2,usernetes,20,64.0,84.83,2
191,2,usernetes,20,128.0,169.24,2
192,2,usernetes,20,256.0,336.38,2
193,2,usernetes,20,512.0,658.41,2
194,2,usernetes,20,1024.0,1241.87,2
195,2,usernetes,20,2048.0,2154.11,2
196,2,usernetes,20,4096.0,3670.75,2
197,2,usernetes,20,8192.0,6225.45,2
198,2,usernetes,20,16384.0,7919.45,2
199,2,usernetes,20,32768.0,9515.94,2
200,2,usernetes,20,65536.0,11467.2,2
201,2,usernetes,20,131072.0,13396.85,2
202,2,usernetes,20,262144.0,13739.16,2
203,2,usernetes,20,524288.0,13968.57,2
204,2,usernetes,20,1048576.0,23390.64,2
205,2,usernetes,20,2097152.0,23815.17,2
206,2,usernetes,20,4194304.0,24141.83,2
207,2,usernetes,13,1.0,1.4,2
208,2,usernetes,13,2.0,2.82,2
209,2,usernetes,13,4.0,5.72,2
210,2,usernetes,13,8.0,11.45,2
211,2,usernetes,13,16.0,22.94,2
212,2,usernetes,13,32.0,45.86,2
213,2,usernetes,13,64.0,85.15,2
214,2,usernetes,13,128.0,170.21,2
215,2,usernetes,13,256.0,337.86,2
216,2,usernetes,13,512.0,659.65,2
217,2,usernetes,13,1024.0,1248.87,2
218,2,usernetes,13,2048.0,2155.05,2
219,2,usernetes,13,4096.0,3677.43,2
220,2,usernetes,13,8192.0,6166.8,2
221,2,usernetes,13,16384.0,7759.09,2
222,2,usernetes,13,32768.0,9482.26,2
223,2,usernetes,13,65536.0,11075.14,2
224,2,usernetes,13,131072.0,13355.38,2
225,2,usernetes,13,262144.0,13693.85,2
226,2,usernetes,13,524288.0,13947.37,2
227,2,usernetes,13,1048576.0,23377.38,2
228,2,usernetes,13,2097152.0,23799.13,2
229,2,usernetes,13,4194304.0,24113.19,2
230,2,usernetes,18,1.0,1.31,2
231,2,usernetes,18,2.0,2.74,2
232,2,usernetes,18,4.0,5.62,2
233,2,usernetes,18,8.0,11.22,2
234,2,usernetes,18,16.0,22.69,2
235,2,usernetes,18,32.0,45.03,2
236,2,usernetes,18,64.0,84.28,2
237,2,usernetes,18,128.0,167.58,2
238,2,usernetes,18,256.0,333.85,2
239,2,usernetes,18,512.0,653.17,2
240,2,usernetes,18,1024.0,1236.21,2
241,2,usernetes,18,2048.0,2147.58,2
