,ranks,experiment,iteration,size,average_latency_us,nodes
140,2,bare-metal,20,524288.0,80.61,2
141,2,bare-metal,20,1048576.0,77.8,2
142,2,bare-metal,20,2097152.0,155.61,2
143,2,bare-metal,20,4194304.0,239.88,2
144,2,bare-metal,3,0.0,7.47,2
145,2,bare-metal,3,1.0,7.5,2
146,2,bare-metal,3,2.0,7.49,2
147,2,bare-metal,3,4.0,7.49,2
148,2,bare-metal,3,8.0,7.79,2
149,2,bare-metal,3,16.0,7.79,2
150,2,bare-metal,3,32.0,7.79,2
151,2,bare-metal,3,64.0,7.9,2
152,2,bare-metal,3,128.0,7.92,2
153,2,bare-metal,3,256.0,7.93,2
154,2,bare-metal,3,512.0,7.97,2
155,2,bare-metal,3,1024.0,8.07,2
156,2,bare-metal,3,2048.0,8.33,2
157,2,bare-metal,3,4096.0,8.77,2
158,2,bare-metal,3,8192.0,9.59,2
159,2,bare-metal,3,16384.0,10.19,2
160,2,bare-metal,3,32768.0,11.39,2
161,2,bare-metal,3,65536.0,14.07,2
162,2,bare-metal,3,131072.0,34.0,2
163,2,bare-metal,3,262144.0,44.11,2
164,2,bare-metal,3,524288.0,80.92,2
165,2,bare-metal,3,1048576.0,77.87,2
166,2,bare-metal,3,2097152.0,156.6,2
167,2,bare-metal,3,4194304.0,237.25,2
168,2,bare-metal,8,0.0,7.46,2
169,2,bare-metal,8,1.0,7.49,2
170,2,bare-metal,8,2.0,7.48,2
171,2,bare-metal,8,4.0,7.48,2
172,2,bare-metal,8,8.0,7.79,2
173,2,bare-metal,8,16.0,7.77,2
174,2,bare-metal,8,32.0,7.79,2
175,2,bare-metal,8,64.0,7.92,2
176,2,bare-metal,8,128.0,7.91,2
177,2,bare-metal,8,256.0,7.94,2
178,2,bare-metal,8,512.0,7.96,2
179,2,bare-metal,8,1024.0,8.07,2
180,2,bare-metal,8,2048.0,8.33,2
181,2,bare-metal,8,4096.0,8.73,2
182,2,bare-metal,8,8192.0,9.54,2
183,2,bare-metal,8,16384.0,10.15,2
184,2,bare-metal,8,32768.0,11.42,2
185,2,bare-metal,8,65536.0,14.05,2
186,2,bare-metal,8,131072.0,34.01,2
187,2,bare-metal,8,262144.0,43.96,2
188,2,bare-metal,8,524288.0,80.61,2
189,2,bare-metal,8,1048576.0,77.86,2
190,2,bare-metal,8,2097152.0,155.69,2
191,2,bare-metal,8,4194304.0,239.39,2
192,2,bare-metal,13,0.0,7.45,2
193,2,bare-metal,13,1.0,7.46,2
194,2,bare-metal,13,2.0,7.45,2
195,2,bare-metal,13,4.0,7.45,2
196,2,bare-metal,13,8.0,7.74,2
197,2,bare-metal,13,16.0,7.75,2
198,2,bare-metal,13,32.0,7.73,2
199,2,bare-metal,13,64.0,7.86,2
200,2,bare-metal,13,128.0,7.87,2
201,2,bare-metal,13,256.0,7.89,2
202,2,bare-metal,13,512.0,7.93,2
203,2,bare-metal,13,1024.0,8.03,2
204,2,bare-metal,13,2048.0,8.33,2
205,2,bare-metal,13,4096.0,8.8,2
206,2,bare-metal,13,8192.0,9.51,2
207,2,bare-metal,13,16384.0,10.16,2
208,2,bare-metal,13,32768.0,11.4,2
209,2,bare-metal,13,65536.0,14.07,2
210,2,bare-metal,13,131072.0,34.0,2
211,2,bare-metal,13,262144.0,44.08,2
212,2,bare-metal,13,524288.0,80.44,2
213,2,bare-metal,13,1048576.0,77.83,2
214,2,bare-metal,13,2097152.0,155.91,2
215,2,bare-metal,13,4194304.0,241.28,2
216,2,bare-metal,6,0.0,7.47,2
217,2,bare-metal,6,1.0,7.49,2
218,2,bare-metal,6,2.0,7.47,2
219,2,bare-metal,6,4.0,7.48,2
220,2,bare-metal,6,8.0,7.79,2
221,2,bare-metal,6,16.0,7.78,2
222,2,bare-metal,6,32.0,7.78,2
223,2,bare-metal,6,64.0,7.9,2
224,2,bare-metal,6,128.0,7.91,2
225,2,bare-metal,6,256.0,7.93,2
226,2,bare-metal,6,512.0,7.96,2
227,2,bare-metal,6,1024.0,8.07,2
228,2,bare-metal,6,2048.0,8.34,2
229,2,bare-metal,6,4096.0,8.78,2
230,2,bare-metal,6,8192.0,9.6,2
231,2,bare-metal,6,16384.0,10.16,2
232,2,bare-metal,6,32768.0,11.4,2
233,2,bare-metal,6,65536.0,13.98,2
234,2,bare-metal,6,131072.0,33.99,2
235,2,bare-metal,6,262144.0,44.16,2
236,2,bare-metal,6,524288.0,81.1,2
237,2,bare-metal,6,1048576.0,77.67,2
238,2,bare-metal,6,2097152.0,157.19,2
239,2,bare-metal,6,4194304.0,239.95,2
240,2,bare-metal,12,0.0,7.47,2
241,2,bare-metal,12,1.0,7.48,2
242,2,bare-metal,12,2.0,7.48,2
243,2,bare-metal,12,4.0,7.48,2
244,2,bare-metal,12,8.0,7.78,2
245,2,bare-metal,12,16.0,7.78,2
246,2,bare-metal,12,32.0,7.78,2
247,2,bare-metal,12,64.0,7.9,2
248,2,bare-metal,12,128.0,7.9,2
249,2,bare-metal,12,256.0,7.93,2
250,2,bare-metal,12,512.0,7.97,2
251,2,bare-metal,12,1024.0,8.06,2
252,2,bare-metal,12,2048.0,8.34,2
253,2,bare-metal,12,4096.0,8.77,2
254,2,bare-metal,12,8192.0,9.56,2
255,2,bare-metal,12,16384.0,10.19,2
256,2,bare-metal,12,32768.0,11.37,2
257,2,bare-metal,12,65536.0,14.0,2
258,2,bare-metal,12,131072.0,33.95,2
259,2,bare-metal,12,262144.0,44.09,2
260,2,bare-metal,12,524288.0,80.79,2
261,2,bare-metal,12,1048576.0,77.78,2
262,2,bare-metal,12,2097152.0,156.57,2
263,2,bare-metal,12,4194304.0,239.56,2
264,2,bare-metal,17,0.0,7.46,2
265,2,bare-metal,17,1.0,7.49,2
266,2,bare-metal,17,2.0,7.48,2
267,2,bare-metal,17,4.0,7.48,2
268,2,bare-metal,17,8.0,7.78,2
269,2,bare-metal,17,16.0,7.78,2
270,2,bare-metal,17,32.0,7.79,2
271,2,bare-metal,17,64.0,7.9,2
272,2,bare-metal,17,128.0,7.92,2
273,2,bare-metal,17,256.0,7.93,2
274,2,bare-metal,17,512.0,7.97,2
275,2,bare-metal,17,1024.0,8.07,2
276,2,bare-metal,17,2048.0,8.33,2
277,2,bare-metal,17,4096.0,8.73,2
278,2,bare-metal,17,8192.0,9.58,2
279,2,bare-metal,17,16384.0,10.15,2
280,2,bare-metal,17,32768.0,11.44,2
281,2,bare-metal,17,65536.0,13.92,2
282,2,bare-metal,17,131072.0,33.93,2
283,2,bare-metal,17,262144.0,43.9,2
284,2,bare-metal,17,524288.0,80.52,2
285,2,bare-metal,17,1048576.0,77.92,2
286,2,bare-metal,17,2097152.0,156.01,2
287,2,bare-metal,17,4194304.0,240.07,2
288,2,bare-metal,7,0.0,7.48,2
