
# OSU MPI Allreduce Latency Test v5.8
# Size       Avg Latency(us)
4                      56.74
8                      64.79
16                    116.85
32                     85.31
64                    119.05
128                   189.55
256                   208.83
512                   148.29
1024                  175.57
2048                  156.82
4096                  190.11
8192                  202.26
16384                 247.73
32768                 261.87
65536                 209.45
131072                346.37
262144                841.45
524288               1549.25
1048576              2570.02

# OSU MPI Allreduce Latency Test v5.8
# Size       Avg Latency(us)
4                      49.08
8                      51.48
16                     49.67
32                     50.52
64                    168.26
128                    99.74
256                   101.31
512                   375.50
1024                  104.45
2048                  104.30
4096                  110.41
8192                  115.54
16384                 148.53
32768                 310.32
65536                 216.45
131072                479.26
262144                674.61
524288               1479.60
1048576              2593.05
