
# OSU MPI Allreduce Latency Test v5.8
# Size       Avg Latency(us)
4                      70.02
8                     107.79
16                     90.31
32                    102.12
64                    108.85
128                   162.72
256                   179.15
512                   161.78
1024                  167.16
2048                  127.99
4096                  176.52
8192                  191.55
16384                 197.67
32768                 216.65
65536                 235.82
131072                650.41
262144                846.11
524288               1749.60
1048576              2981.45

# OSU MPI Allreduce Latency Test v5.8
# Size       Avg Latency(us)
4                      50.29
8                     302.97
16                     50.04
32                     49.84
64                     53.19
128                   100.32
256                   283.43
512                   111.92
1024                  114.79
2048                  129.24
4096                  102.79
8192                  116.45
16384                 261.74
32768                 154.82
65536                 618.41
131072                333.29
262144                965.75
524288               1587.52
1048576              2901.36
