
# OSU MPI Allreduce Latency Test v5.8
# Size       Avg Latency(us)
4                      92.37
8                      70.06
16                     84.67
32                    110.72
64                     93.89
128                   177.66
256                   152.63
512                   169.10
1024                  197.86
2048                  174.22
4096                  215.79
8192                  172.34
16384                 236.47
32768                 234.96
65536                 534.52
131072                651.16
262144                887.01
524288               1416.07
1048576              2489.99

# OSU MPI Allreduce Latency Test v5.8
# Size       Avg Latency(us)
4                      90.70
8                      55.98
16                     55.08
32                     49.52
64                     62.25
128                   353.33
256                   101.75
512                   101.20
1024                  532.18
2048                  103.79
4096                  104.52
8192                  287.37
16384                 129.30
32768                 154.99
65536                 612.30
131072                732.20
262144                845.92
524288               1657.27
1048576              3343.49
