
# OSU MPI Allreduce Latency Test v5.8
# Size       Avg Latency(us)
4                      94.59
8                      54.32
16                     84.64
32                    105.56
64                     70.00
128                   148.75
256                   183.21
512                   163.91
1024                  214.65
2048                  159.92
4096                  209.14
8192                  198.99
16384                 176.18
32768                 236.39
65536                 212.46
131072                320.58
262144                682.06
524288               1555.76
1048576              3436.68

# OSU MPI Allreduce Latency Test v5.8
# Size       Avg Latency(us)
4                      49.62
8                      50.87
16                     50.13
32                     49.97
64                     50.94
128                   100.92
256                   102.23
512                   381.89
1024                  101.47
2048                  102.11
4096                  502.53
8192                  116.36
16384                 131.00
32768                 560.87
65536                 206.69
131072                753.51
262144                575.84
524288               1875.21
1048576              3035.75
