
# OSU MPI Allreduce Latency Test v5.8
# Size       Avg Latency(us)
4                      69.13
8                      79.37
16                     97.11
32                     55.70
64                     90.89
128                   214.89
256                   180.99
512                   228.96
1024                  162.98
2048                  199.95
4096                  214.81
8192                  212.53
16384                 200.87
32768                 252.46
65536                 208.40
131072                444.64
262144                588.33
524288               1371.24
1048576              2560.05

# OSU MPI Allreduce Latency Test v5.8
# Size       Avg Latency(us)
4                      50.55
8                      50.46
16                     81.08
32                     50.79
64                     50.36
128                   659.34
256                   100.60
512                   100.04
1024                  101.38
2048                  307.69
4096                  103.84
8192                  115.60
16384                 543.03
32768                 155.68
65536                 627.05
131072                346.23
262144                675.47
524288               1898.04
1048576              2522.27
