
# OSU MPI Allreduce Latency Test v5.8
# Size       Avg Latency(us)
4                      94.89
8                      87.86
16                     78.93
32                     50.66
64                    101.76
128                   180.35
256                   164.77
512                   171.55
1024                  226.90
2048                  214.45
4096                  189.44
8192                  241.05
16384                 208.82
32768                 221.73
65536                 207.75
131072                578.35
262144                707.57
524288               1276.51
1048576              2931.07

# OSU MPI Allreduce Latency Test v5.8
# Size       Avg Latency(us)
4                     455.06
8                      49.44
16                     50.82
32                     49.84
64                     50.25
128                   306.48
256                   249.32
512                   101.50
1024                  101.55
2048                  122.17
4096                  103.61
8192                  222.00
16384                 129.51
32768                 154.51
65536                 618.55
131072                357.19
262144                738.19
524288               1651.89
1048576              2773.99
