
# OSU MPI Allreduce Latency Test v5.8
# Size       Avg Latency(us)
4                      91.86
8                      64.15
16                    120.35
32                     90.54
64                     88.42
128                   127.35
256                   150.33
512                   194.86
1024                  198.41
2048                  197.09
4096                  159.98
8192                  189.95
16384                 192.08
32768                 237.24
65536                 545.91
131072                485.77
262144                879.89
524288               1432.79
1048576              2679.65

# OSU MPI Allreduce Latency Test v5.8
# Size       Avg Latency(us)
4                      49.25
8                     417.90
16                     57.88
32                     51.37
64                     59.80
128                   333.70
256                    99.95
512                   101.68
1024                  376.30
2048                  114.75
4096                  103.47
8192                  296.53
16384                 130.81
32768                 168.00
65536                 616.58
131072                380.35
262144                975.32
524288               1536.53
1048576              2902.39
