
# OSU MPI Allreduce Latency Test v5.8
# Size       Avg Latency(us)
4                      80.13
8                     125.04
16                     96.22
32                    105.82
64                     87.37
128                   129.41
256                   159.53
512                   138.68
1024                  206.58
2048                  146.03
4096                  175.90
8192                  177.27
16384                 235.29
32768                 206.81
65536                 371.53
131072                654.47
262144                846.70
524288               1271.63
1048576              3197.05

# OSU MPI Allreduce Latency Test v5.8
# Size       Avg Latency(us)
4                     353.25
8                      51.01
16                     52.56
32                     51.18
64                     50.32
128                   108.02
256                   100.36
512                   109.98
1024                  101.36
2048                  652.06
4096                  108.73
8192                  233.45
16384                 137.79
32768                 155.79
65536                 411.72
131072                738.23
262144                689.58
524288               1448.13
1048576              3210.07
