
# OSU MPI Allreduce Latency Test v5.8
# Size       Avg Latency(us)
4                      59.31
8                      54.07
16                    105.82
32                     86.41
64                    108.39
128                   141.59
256                   163.06
512                   176.03
1024                  157.51
2048                  185.47
4096                  153.42
8192                  186.92
16384                 246.28
32768                 293.33
65536                 207.13
131072                453.73
262144                893.55
524288               1470.50
1048576              3235.52

# OSU MPI Allreduce Latency Test v5.8
# Size       Avg Latency(us)
4                      51.39
8                      49.84
16                     51.02
32                     50.01
64                    220.27
128                   111.53
256                   102.39
512                   102.88
1024                  665.99
2048                  102.95
4096                  489.86
8192                  119.23
16384                 131.45
32768                 566.35
65536                 220.62
131072                738.87
262144                698.23
524288               1538.81
1048576              3145.96
