
# OSU MPI Allreduce Latency Test v5.8
# Size       Avg Latency(us)
4                      60.72
8                      86.86
16                     54.66
32                     66.40
64                     56.73
128                   193.25
256                   146.78
512                   122.04
1024                  184.45
2048                  165.44
4096                  166.70
8192                  196.93
16384                 215.96
32768                 257.18
65536                 229.12
131072                351.81
262144                887.99
524288               1875.22
1048576              2613.85

# OSU MPI Allreduce Latency Test v5.8
# Size       Avg Latency(us)
4                      49.71
8                      51.00
16                     50.23
32                    330.16
64                     50.27
128                   100.71
256                   106.91
512                   382.03
1024                  102.62
2048                  102.61
4096                  104.04
8192                  116.23
16384                 129.74
32768                 211.13
65536                 236.76
131072                517.24
262144                756.50
524288               1694.27
1048576              2546.42
