
# OSU MPI Allreduce Latency Test v5.8
# Size       Avg Latency(us)
4                      87.64
8                     132.36
16                     75.11
32                     90.19
64                    114.04
128                   125.17
256                   184.45
512                   160.28
1024                  205.19
2048                  182.69
4096                  193.49
8192                  177.32
16384                 219.20
32768                 235.35
65536                 302.90
131072                652.26
262144                807.23
524288               1787.31
1048576              2670.57

# OSU MPI Allreduce Latency Test v5.8
# Size       Avg Latency(us)
4                      49.08
8                     394.14
16                     50.24
32                     50.33
64                     50.33
128                   121.14
256                   100.13
512                   101.18
1024                  103.99
2048                  617.85
4096                  105.69
8192                  521.91
16384                 131.68
32768                 155.56
65536                 412.24
131072                321.75
262144                976.19
524288               1319.64
1048576              3564.80
