
# OSU MPI Allreduce Latency Test v5.8
# Size       Avg Latency(us)
4                      57.04
8                      68.30
16                     78.58
32                    129.96
64                     64.20
128                   122.86
256                   147.65
512                   219.96
1024                  183.86
2048                  207.80
4096                  161.93
8192                  200.35
16384                 231.81
32768                 320.11
65536                 283.90
131072                643.72
262144                883.52
524288               1901.61
1048576              3173.57

# OSU MPI Allreduce Latency Test v5.8
# Size       Avg Latency(us)
4                      49.21
8                      52.23
16                     50.03
32                     69.31
64                     51.38
128                   160.83
256                   291.08
512                   100.51
1024                  105.07
2048                  511.85
4096                  121.49
8192                  118.56
16384                 334.64
32768                 154.41
65536                 406.80
131072                322.36
262144                979.98
524288               1900.02
1048576              2920.29
