
# OSU MPI Allreduce Latency Test v5.8
# Size       Avg Latency(us)
4                      88.36
8                      90.62
16                    108.87
32                     75.72
64                     72.39
128                   228.01
256                   119.73
512                   154.28
1024                  122.88
2048                  128.54
4096                  130.47
8192                  155.30
16384                 217.09
32768                 269.05
65536                 208.59
131072                323.17
262144                819.70
524288               2008.41
1048576              2928.01

# OSU MPI Allreduce Latency Test v5.8
# Size       Avg Latency(us)
4                      53.22
8                     379.75
16                     51.45
32                     51.13
64                     52.98
128                   102.12
256                   495.46
512                   101.47
1024                  120.63
2048                  103.24
4096                  103.70
8192                  116.55
16384                 335.95
32768                 156.76
65536                 339.93
131072                321.15
262144               1396.12
524288               1447.79
1048576              3111.40
