
# OSU MPI Allreduce Latency Test v5.8
# Size       Avg Latency(us)
4                      70.75
8                     108.87
16                    127.09
32                    118.35
64                     68.60
128                   147.90
256                   153.06
512                   150.64
1024                  174.23
2048                  201.61
4096                  186.00
8192                  183.52
16384                 231.13
32768                 298.90
65536                 555.50
131072                321.60
262144                605.30
524288               1453.80
1048576              2699.47

# OSU MPI Allreduce Latency Test v5.8
# Size       Avg Latency(us)
4                      49.65
8                      50.54
16                    304.56
32                     50.15
64                     50.46
128                   100.08
256                   232.15
512                   101.37
1024                  101.04
2048                  103.15
4096                  891.01
8192                  117.35
16384                 130.17
32768                 562.27
65536                 236.87
131072                733.59
262144                966.92
524288               1482.50
1048576              3151.51
