
# OSU MPI Allreduce Latency Test v5.8
# Size       Avg Latency(us)
4                      81.64
8                      90.85
16                    132.35
32                    101.67
64                    124.83
128                   213.47
256                   136.43
512                   190.70
1024                  140.18
2048                  142.84
4096                  167.83
8192                  210.65
16384                 202.26
32768                 257.73
65536                 209.19
131072                616.60
262144                845.79
524288               1524.91
1048576              2805.72

# OSU MPI Allreduce Latency Test v5.8
# Size       Avg Latency(us)
4                      50.24
8                     122.00
16                     50.29
32                     50.26
64                     57.30
128                   510.04
256                   101.49
512                   101.20
1024                  101.40
2048                  512.92
4096                  252.14
8192                  151.66
16384                 129.87
32768                 156.12
65536                 314.29
131072                391.20
262144                757.89
524288               1390.79
1048576              3388.20
