
# OSU MPI Allreduce Latency Test v5.8
# Size       Avg Latency(us)
4                      81.50
8                      61.36
16                     70.36
32                    126.46
64                     85.97
128                   167.51
256                   151.63
512                   174.89
1024                  185.14
2048                  188.32
4096                  207.55
8192                  233.48
16384                 300.87
32768                 318.35
65536                 538.72
131072                322.82
262144                671.95
524288               1472.25
1048576              2835.16

# OSU MPI Allreduce Latency Test v5.8
# Size       Avg Latency(us)
4                      50.49
8                      56.74
16                     49.83
32                    163.18
64                     50.72
128                   305.26
256                   100.68
512                   101.12
1024                  101.16
2048                  513.62
4096                  112.73
8192                  117.18
16384                 335.40
32768                 154.26
65536                 612.80
131072                341.29
262144                734.74
524288               1347.98
1048576              2465.28
