
# OSU MPI Allreduce Latency Test v5.8
# Size       Avg Latency(us)
4                      52.17
8                     106.23
16                     92.26
32                    131.63
64                     99.39
128                   155.06
256                   168.53
512                   128.92
1024                  156.06
2048                  217.91
4096                  155.10
8192                  194.49
16384                 227.99
32768                 262.66
65536                 207.30
131072                386.76
262144                701.24
524288               1347.61
1048576              3028.58

# OSU MPI Allreduce Latency Test v5.8
# Size       Avg Latency(us)
4                      48.63
8                      50.31
16                     50.61
32                     52.35
64                     49.91
128                   154.82
256                   102.03
512                   100.61
1024                  650.44
2048                  103.05
4096                  103.41
8192                  525.76
16384                 131.98
32768                 155.39
65536                 224.37
131072                732.67
262144                707.67
524288               1889.31
1048576              3127.64
