
# OSU MPI Allreduce Latency Test v5.8
# Size       Avg Latency(us)
4                      61.24
8                     108.52
16                     72.02
32                    127.56
64                     86.63
128                   124.74
256                   184.37
512                   148.11
1024                  204.74
2048                  163.23
4096                  203.71
8192                  240.27
16384                 201.65
32768                 234.35
65536                 205.91
131072                391.85
262144                572.18
524288               1265.42
1048576              2797.70

# OSU MPI Allreduce Latency Test v5.8
# Size       Avg Latency(us)
4                     352.92
8                      50.59
16                     50.20
32                     57.69
64                     50.26
128                   404.51
256                   120.12
512                   134.71
1024                  349.66
2048                  102.58
4096                  220.89
8192                  121.40
16384                 136.19
32768                 284.60
65536                 206.39
131072                326.52
262144                979.80
524288               1611.61
1048576              3235.85
