
# OSU MPI Allreduce Latency Test v5.8
# Size       Avg Latency(us)
4                      55.73
8                      88.71
16                     83.68
32                    110.27
64                     54.70
128                   205.29
256                   182.63
512                   130.76
1024                  142.89
2048                  189.08
4096                  202.60
8192                  205.29
16384                 215.68
32768                 238.74
65536                 207.76
131072                461.31
262144                638.35
524288               1178.26
1048576              2408.97

# OSU MPI Allreduce Latency Test v5.8
# Size       Avg Latency(us)
4                     181.15
8                      50.59
16                     49.89
32                     49.51
64                     50.36
128                   292.73
256                   100.97
512                   100.69
1024                  419.17
2048                  174.05
4096                  105.96
8192                  171.08
16384                 289.74
32768                 560.76
65536                 207.22
131072                477.92
262144                661.33
524288               1659.55
1048576              3223.31
