# OSU MPI Latency Test v5.8
# Size          Latency (us)
0                       7.46
1                       7.48
2                       7.46
4                       7.47
8                       7.78
16                      7.77
32                      7.76
64                      7.88
128                     7.90
256                     7.92
512                     7.96
1024                    8.05
2048                    8.32
4096                    8.73
8192                    9.59
16384                  10.19
32768                  11.48
65536                  14.09
131072                 34.07
262144                 44.20
524288                 80.87
1048576                77.98
2097152               156.00
4194304               239.91
