
# OSU MPI Allreduce Latency Test v5.8
# Size       Avg Latency(us)
4                     136.54
8                     135.38
16                    141.63
32                    133.86
64                    144.32
128                   137.51
256                   159.27
512                   175.93
1024                  154.70
2048                  143.36
4096                  203.79
8192                  282.96
16384                 284.09
32768                 289.77
65536                 238.64
131072                332.23
262144                589.49
524288                703.65
1048576              1066.92
