
# OSU MPI Allreduce Latency Test v5.8
# Size       Avg Latency(us)
4                     104.26
8                     114.18
16                    109.16
32                     93.30
64                    102.93
128                   107.40
256                    98.79
512                   111.93
1024                  104.68
2048                  103.28
4096                  176.64
8192                  163.91
16384                 205.97
32768                 190.07
65536                 182.77
131072                248.70
262144                445.90
524288                700.43
1048576               958.11
