
# OSU MPI Allreduce Latency Test v5.8
# Size       Avg Latency(us)
4                      85.55
8                      86.63
16                     90.52
32                     90.85
64                    102.51
128                    91.56
256                    94.94
512                    90.52
1024                   93.93
2048                  113.52
4096                  107.71
8192                  143.98
16384                 157.21
32768                 218.28
65536                 264.93
131072                636.93
262144                316.79
524288                505.92
1048576               918.95
