
# OSU MPI Allreduce Latency Test v5.8
# Size       Avg Latency(us)
4                      87.76
8                      97.54
16                     89.59
32                     88.65
64                     93.50
128                    89.71
256                    87.87
512                    90.74
1024                   94.77
2048                   99.20
4096                  115.48
8192                  147.70
16384                 169.53
32768                 230.53
65536                 268.18
131072                661.31
262144                403.56
524288                539.00
1048576               903.42
