# OSU MPI Latency Test v5.8
# Size          Latency (us)
0                       7.45
1                       7.47
2                       7.45
4                       7.47
8                       7.76
16                      7.75
32                      7.76
64                      7.87
128                     7.90
256                     7.91
512                     7.95
1024                    8.04
2048                    8.36
4096                    8.81
8192                    9.57
16384                  10.25
32768                  11.41
65536                  14.09
131072                 34.07
262144                 44.09
524288                 80.70
1048576                77.92
2097152               156.40
4194304               236.11
