
# OSU MPI Allreduce Latency Test v5.8
# Size       Avg Latency(us)
4                      33.77
8                      33.67
16                     33.48
32                     38.31
64                     34.64
128                    38.82
256                    40.87
512                    38.43
1024                   36.53
2048                   39.28
4096                   62.99
8192                   95.74
16384                 115.33
32768                 155.61
65536                 237.76
131072                462.03
262144                259.85
524288                408.46
1048576               743.32
