# OSU MPI Latency Test v5.8
# Size          Latency (us)
0                       7.46
1                       7.47
2                       7.46
4                       7.47
8                       7.77
16                      7.77
32                      7.76
64                      7.86
128                     7.87
256                     7.89
512                     7.93
1024                    8.02
2048                    8.31
4096                    8.78
8192                    9.58
16384                  10.16
32768                  11.44
65536                  13.99
131072                 33.97
262144                 44.17
524288                 80.87
1048576                77.89
2097152               156.51
4194304               239.23
