# OSU MPI Bandwidth Test v5.8
# Size      Bandwidth (MB/s)
1                       1.71
2                       3.62
4                       7.31
8                      14.59
16                     29.32
32                     58.73
64                    108.00
128                   215.55
256                   425.14
512                   831.61
1024                 1544.46
2048                 2602.29
4096                 4384.65
8192                 7132.96
16384                8454.52
32768                9951.25
65536               10679.25
131072              13651.09
262144              13914.44
524288              14002.63
1048576             23658.11
2097152             23976.72
4194304             24195.13
