
# OSU MPI Allreduce Latency Test v5.8
# Size       Avg Latency(us)
4                      89.54
8                      94.39
16                     85.32
32                     91.74
64                    100.12
128                    87.65
256                    85.17
512                    88.62
1024                   91.62
2048                  100.47
4096                  114.61
8192                  142.45
16384                 163.80
32768                 229.53
65536                 268.70
131072                629.29
262144                313.87
524288                497.44
1048576               912.76
