# OSU MPI Latency Test v5.8
# Size          Latency (us)
0                       7.46
1                       7.48
2                       7.47
4                       7.48
8                       7.78
16                      7.80
32                      7.80
64                      7.92
128                     7.93
256                     7.94
512                     7.98
1024                    8.07
2048                    8.33
4096                    8.76
8192                    9.56
16384                  10.21
32768                  11.43
65536                  13.99
131072                 33.99
262144                 44.00
524288                 80.68
1048576                78.02
2097152               156.60
4194304               238.81
