
# OSU MPI Allreduce Latency Test v5.8
# Size       Avg Latency(us)
4                      98.81
8                     116.19
16                     99.30
32                     90.47
64                    100.24
128                    99.51
256                   101.04
512                   105.07
1024                  103.71
2048                  104.37
4096                  160.93
8192                  173.37
16384                 177.03
32768                 220.50
65536                 228.58
131072                290.08
262144                360.64
524288                559.08
1048576               955.10
