
# OSU MPI Allreduce Latency Test v5.8
# Size       Avg Latency(us)
4                      35.17
8                      34.48
16                     39.27
32                     37.10
64                     36.78
128                    33.99
256                    35.21
512                    35.22
1024                   42.16
2048                   38.98
4096                   64.09
8192                   88.79
16384                 113.25
32768                 157.88
65536                 237.87
131072                465.59
262144                279.98
524288                433.93
1048576               727.30
