
# OSU MPI Allreduce Latency Test v5.8
# Size       Avg Latency(us)
4                     107.37
8                     110.94
16                    114.71
32                    102.30
64                     98.13
128                   110.39
256                   101.71
512                   107.88
1024                  153.24
2048                  109.34
4096                  171.16
8192                  172.06
16384                 177.70
32768                 198.76
65536                 218.75
131072                285.85
262144                336.36
524288                573.02
1048576               940.81
