# OSU MPI Bandwidth Test v5.8
# Size      Bandwidth (MB/s)
1                       1.73
2                       3.59
4                       7.34
8                      14.59
16                     29.25
32                     58.69
64                    108.36
128                   215.99
256                   428.47
512                   835.33
1024                 1537.98
2048                 2598.30
4096                 4305.71
8192                 7224.40
16384                8479.17
32768               10034.69
65536               12229.39
131072              13689.04
262144              13912.36
524288              14022.58
1048576             23684.77
2097152             23993.15
4194304             24188.67
