
# OSU MPI Allreduce Latency Test v5.8
# Size       Avg Latency(us)
4                      33.84
8                      41.24
16                     34.76
32                     37.48
64                     35.51
128                    34.75
256                    37.10
512                    35.79
1024                   37.88
2048                   38.47
4096                   65.05
8192                   88.28
16384                 111.00
32768                 155.19
65536                 243.90
131072                468.20
262144                271.53
524288                451.54
1048576               804.73
