
# OSU MPI Allreduce Latency Test v5.8
# Size       Avg Latency(us)
4                     155.16
8                     144.42
16                    149.31
32                    199.58
64                    178.31
128                   130.67
256                   131.25
512                   163.87
1024                  157.87
2048                  128.94
4096                  208.65
8192                  246.62
16384                 290.12
32768                 313.28
65536                 243.53
131072                370.67
262144                645.92
524288                677.56
1048576              1229.25
