
# OSU MPI Allreduce Latency Test v5.8
# Size       Avg Latency(us)
4                      85.83
8                      89.11
16                     89.84
32                     91.43
64                     86.63
128                    88.97
256                    89.30
512                    89.68
1024                  100.96
2048                   94.89
4096                  111.20
8192                  137.21
16384                 163.16
32768                 219.43
65536                 260.43
131072                616.28
262144                311.00
524288                525.58
1048576               889.48
