
# OSU MPI Allreduce Latency Test v5.8
# Size       Avg Latency(us)
4                     125.06
8                     148.98
16                    145.17
32                    140.15
64                    124.47
128                   131.92
256                   128.96
512                   145.68
1024                  157.85
2048                  139.41
4096                  216.18
8192                  228.78
16384                 288.31
32768                 274.53
65536                 247.34
131072                347.14
262144                462.98
524288                711.75
1048576               998.94
