# OSU MPI Latency Test v5.8
# Size          Latency (us)
0                       7.47
1                       7.50
2                       7.50
4                       7.49
8                       7.81
16                      7.82
32                      7.80
64                      7.92
128                     7.93
256                     7.96
512                     7.98
1024                    8.08
2048                    8.35
4096                    8.78
8192                    9.59
16384                  10.16
32768                  11.38
65536                  13.84
131072                 33.91
262144                 44.06
524288                 80.65
1048576                77.91
2097152               155.91
4194304               240.90
