# OSU MPI Bandwidth Test v5.8
# Size      Bandwidth (MB/s)
1                       1.71
2                       3.55
4                       7.34
8                      14.63
16                     29.35
32                     58.79
64                    107.82
128                   215.40
256                   426.64
512                   828.83
1024                 1535.42
2048                 2595.34
4096                 4293.72
8192                 7157.46
16384                8751.90
32768               10157.90
65536               10976.25
131072              13628.40
262144              13849.62
524288              13959.20
1048576             23656.38
2097152             23957.94
4194304             24171.75
