
# OSU MPI Allreduce Latency Test v5.8
# Size       Avg Latency(us)
4                     138.56
8                     180.04
16                    135.73
32                    134.54
64                    119.13
128                   122.91
256                   138.40
512                   152.80
1024                  153.07
2048                  122.11
4096                  170.73
8192                  238.89
16384                 253.21
32768                 284.22
65536                 402.21
131072                431.06
262144                619.36
524288                882.29
1048576              1106.95
