
# OSU MPI Allreduce Latency Test v5.8
# Size       Avg Latency(us)
4                     106.95
8                      95.94
16                     92.41
32                     97.04
64                    108.71
128                    98.21
256                   111.87
512                   108.31
1024                  117.70
2048                  109.67
4096                  177.99
8192                  178.46
16384                 192.24
32768                 194.62
65536                 195.40
131072                452.27
262144                347.26
524288                595.81
1048576               952.86
