
# OSU MPI Allreduce Latency Test v5.8
# Size       Avg Latency(us)
4                      96.08
8                      87.57
16                     88.39
32                     88.08
64                     91.73
128                    99.00
256                    99.58
512                    92.58
1024                   92.98
2048                   95.38
4096                  107.06
8192                  136.25
16384                 157.26
32768                 220.14
65536                 261.46
131072                632.01
262144                338.88
524288                577.95
1048576               938.20
