# OSU MPI Latency Test v5.8
# Size          Latency (us)
0                       7.46
1                       7.49
2                       7.48
4                       7.48
8                       7.78
16                      7.77
32                      7.79
64                      7.91
128                     7.92
256                     7.92
512                     7.98
1024                    8.06
2048                    8.35
4096                    8.72
8192                    9.55
16384                  10.14
32768                  11.42
65536                  13.96
131072                 34.13
262144                 44.37
524288                 81.09
1048576                77.76
2097152               156.18
4194304               240.36
