
# OSU MPI Allreduce Latency Test v5.8
# Size       Avg Latency(us)
4                      90.21
8                      86.37
16                     93.62
32                     88.61
64                     92.69
128                    93.16
256                    88.37
512                    89.68
1024                   96.64
2048                  102.25
4096                  115.71
8192                  136.88
16384                 164.56
32768                 217.05
65536                 259.25
131072                638.55
262144                331.72
524288                526.17
1048576              1157.99
